2:op_ut,third_party.torch-xpu-ops.test.xpu.dynamo.test_functions_xpu.FunctionTests,test_get_device_properties_tensor_device
699:op_ut,third_party.torch-xpu-ops.test.xpu.test_unary_ufuncs_xpu.TestUnaryUfuncsXPU,test_reference_numerics_extremal__refs_acosh_xpu_complex64
700:op_ut,third_party.torch-xpu-ops.test.xpu.test_unary_ufuncs_xpu.TestUnaryUfuncsXPU,test_reference_numerics_extremal__refs_asin_xpu_complex64
701:op_ut,third_party.torch-xpu-ops.test.xpu.test_unary_ufuncs_xpu.TestUnaryUfuncsXPU,test_reference_numerics_extremal__refs_asinh_xpu_complex64
702:op_ut,third_party.torch-xpu-ops.test.xpu.test_unary_ufuncs_xpu.TestUnaryUfuncsXPU,test_reference_numerics_extremal__refs_log10_xpu_complex64
703:op_ut,third_party.torch-xpu-ops.test.xpu.test_unary_ufuncs_xpu.TestUnaryUfuncsXPU,test_reference_numerics_extremal__refs_log1p_xpu_complex64
704:op_ut,third_party.torch-xpu-ops.test.xpu.test_unary_ufuncs_xpu.TestUnaryUfuncsXPU,test_reference_numerics_extremal__refs_log_xpu_complex64
705:op_ut,third_party.torch-xpu-ops.test.xpu.test_unary_ufuncs_xpu.TestUnaryUfuncsXPU,test_reference_numerics_normal__refs_nn_functional_tanhshrink_xpu_complex64
706:op_ut,third_party.torch-xpu-ops.test.xpu.test_unary_ufuncs_xpu.TestUnaryUfuncsXPU,test_reference_numerics_extremal__refs_nn_functional_tanhshrink_xpu_complex64
707:op_ut,third_party.torch-xpu-ops.test.xpu.dynamo.test_aot_autograd_cache_xpu.AOTAutogradCachePicklerTests,test_identical_graphs_and_configs
708:op_ut,third_party.torch-xpu-ops.test.xpu.dynamo.test_aot_autograd_cache_xpu.AOTAutogradCachePicklerTests,test_different_configs
709:op_ut,third_party.torch-xpu-ops.test.xpu.quantization.core.test_quantized_op_xpu.TestQuantizedOpsXPU,test_qsoftmax_qnnpack_xpu
711:op_ut,third_party.torch-xpu-ops.test.xpu.quantization.core.test_workflow_ops_xpu.TestFakeQuantizeOpsXPU,test_fq_module_per_tensor_xpu
712:op_ut,third_party.torch-xpu-ops.test.xpu.test_autograd_xpu.TestAutogradStreamSynchronizationXPU,test_side_stream_backward_overlap_xpu
714:op_ut,third_party.torch-xpu-ops.test.xpu.test_fake_tensor_xpu.FakeTensorOperatorInvariants,test_module_to
